집계년도,시군명,수목원명칭,수목원전화번호,등록승인년도,수목원구분명,대표자명,수목원규모(ha),보유종수,수목원소재지우편번호,수목원소재지지번주소,수목원소재지도로명주소,WGS84위도,WGS84경도
2023,가평군,아침고요원예수목원,031-1544-6703,2005,사립,한상경,10,4775,12448,경기도 가평군 상면 행현리 623-3번지,경기도 가평군 상면 수목원로 432,37.7439356,127.3524571
2023,경기도,바다향기수목원,031-8008-6972,2022,도립,경기도,112,1243,15651,경기도 안산시 단원구 선감동 8-5번지,경기도 안산시 단원구 대부황금로 399,37.22357254,126.6427653
2023,경기도,물향기수목원,031-378-1261,2006,도립,경기도,34,1888,18118,경기도 오산시 수청동 332-4번지,경기도 오산시 청학로 211,37.1661425,127.0596379
2023,과천시,서울대공원식물원,02-500-7338,2015,시립,서울대공원,22,1262,13829,경기도 과천시 막계동 159-1번지,경기도 과천시 대공원광장로 102,37.425973,127.0235491
2023,광주시,곤지암화담숲,031-8026-6666,2011,사립,남상건,16,3952,12809,경기도 광주시 도척면 도웅리 534번지,경기도 광주시 도척면 도척윗로 278,37.3401531,127.2916932
2023,광주시,상림수목원,031-762-9155,2020,사립,장관선,11,1059,12788,경기도 광주시 태전동 71번지,경기도 광주시 태성로 130-43,37.37938245,127.2223156
2023,남양주시,산들소리수목원,031-574-3252,2015,사립,장주열,12,1030,12100,경기도 남양주시 별내동 785-1번지,경기도 남양주시 불암산로59번길 48-31,37.651055,127.1013767
2023,남양주시,물맑음수목원,031-5902-4075,2018,공립,남양주시장,11,1205,12028,경기도 남양주시 수동면 지둔리 산129번지,경기도 남양주시 수동면 지둔로307번길 47-4,37.70544345,127.2903491
2023,부천시,부천무릉도원수목원,032-320-3000,2013,시립,부천시,21,1229,14656,경기도 부천시 원미구 춘의동 381번지,경기도 부천시 원미구 길주로 660,37.5051241,126.8157085
2023,성남시,신구대학교식물원,031-724-1600,2004,학교,신구대학교,57,1336,13443,경기도 성남시 수정구 상적동 산123-1번지,경기도 성남시 수정구 적푸리로 9,37.4335001,127.0810469
2023,시흥시,용도수목원,031-313-9090,2013,사립,김용상,3,1020,14931,경기도 시흥시 매화동 11-18번지,경기도 시흥시 밭뒤길 32,37.4190229,126.8262142
2023,안양시,서울대관악수목원,031-473-0071,2003,학교,서울대학교,1501,1111,13911,경기도 안양시 만안구 안양동 산16-1번지,경기도 안양시 만안구 예술공원로 280,37.4159435,126.9311514
2023,양주시,양주자생수목원,031-826-0933,2007,사립,김영자,3,1276,11519,경기도 양주시 장흥면 석현리 330-9번지,경기도 양주시 장흥면 권율로309번길 167-35,37.7439284,126.9497154
2023,양평군,들꽃식물원,031-772-1800,2003,사립,정일모,5,1820,12545,경기도 양평군 양평읍 오빈리 210-37번지,경기도 양평군 양평읍 수목원길 16,37.5015506,127.471312
2023,여주시,바이블랜드수목원,031-884-0661,2023,사립,권종열,39,1136,12658,경기도 여주시 하거동 407-1번지,경기도 여주시 하거3길 61-97,37.2204189,127.6455176
2023,여주시,황학산수목원,031-887-2741,2011,시립,여주시,27,1335,12653,경기도 여주시 매룡동 282번지,경기도 여주시 황학산수목원길 73,37.2784707,127.6494198
2023,용인시,한택식물원,031-333-3558,2002,사립,이택주,56,9311,17183,경기도 용인시 처인구 백암면 옥산리 365번지,경기도 용인시 처인구 백암면 한택로 2,37.0963444,127.4027439
2023,이천시,덕평공룡수목원,031-633-5029,2015,사립,안승우,9,1010,17388,경기도 이천시 마장면 작촌리 산58-1번지,경기도 이천시 마장면 작촌로 282,37.230883,127.3373639
2023,파주시,율곡수목원,031-952-0624,2021,시립,파주시,34,0,10809,경기도 파주시 파평면 율곡리 87-3번지,경기도 파주시 파평면 장승배기로 392,37.89831468,126.8228648
2023,포천시,국립수목원,031-540-2000,1999,국립,산림청,1118,3344,11186,경기도 포천시 소흘읍 직동리 산50-18번지,경기도 포천시 소흘읍 광릉수목원로 415,37.7520407,127.168526
2023,포천시,평강식물원,031-531-7751,2005,사립,농업회사 법인 ㈜여울,8,4007,11103,경기도 포천시 영북면 산정리 728번지,경기도 포천시 영북면 우물목길 171-18,38.0507576,127.3027909
2023,화성시,우리꽃식물원,031-369-6163,2011,시립,화성시,11,1154,18577,경기도 화성시 팔탄면 매곡리 179-18번지,경기도 화성시 팔탄면 3.1만세로 777-17,37.1153673,126.8838877

